rcp_name,rcp_way,rcp_pat,weight,kcal,carbohydrate,protein,fat,natrium,tag,img,ingredients,MANUAL01,MANUAL_IMG01,MANUAL02,MANUAL_IMG02,MANUAL03,MANUAL_IMG03,MANUAL04,MANUAL_IMG04,MANUAL05,MANUAL_IMG05,MANUAL06,MANUAL_IMG06,RCP_NA_TIP
버섯 두유 소스 볶음,볶기,반찬,,285,17,9,20,53,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00018_1.png,"버섯볶음 새송이버섯 100g(3개), 올리브유 10g(2작은술) 두유 소스 두유 20g(1⅓큰술), 생크림 10g(2작은술), 청양고추 5g(1/2개), 후추 약간 곁들임 새싹채소 20g",1. 새송이버섯은 굵게 채썬 후 달군 프라이팬에 기름을 두르고 노릇하게 볶는다.a,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00018_1.png,"2. 소스 팬에 두유, 생크림, 청양고추, 후추를 넣고 약한 불에 뭉근하게 졸인다.b",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00018_2.png,3. 볶은 새송이버섯을 소스에 넣고 고루 섞어 가며 조금 더 볶아 접시에 담은 후 새싹채소를 함께 곁들인다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00018_3.png,,,,,,,"두유와 생크림으로 고소한 맛을 내어 짠맛을 대신해 줘요. 두유는 식사대용으로 먹을 정도로 영양이 우수하며, 두유를 소스에 사용하면 생크림 사용량을 줄일 수 있어 지방섭취를 줄일 수 있어요. 두유 200ml에 125kcal의 열량이 있으므로 당뇨 환자의 경우 한잔 정도가 적당해요"
백일송이버섯 볶음,볶기,반찬,,80,10,3,3,11,백일송이,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00019_1.png,"백일송이버섯볶음 백일송이버섯 65g(1컵), 노랑 파프리카 5g(5×1cm), 빨강 파프리카 5g(5×1cm), 카놀라유 3g(2/3작은술)",1. 파프리카는 씨를 빼고 버섯 크기와 비슷하게 썬다.a,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00019_1.png,2. 달구어진 팬에 카놀라유를 두르고 백일송이 버섯을 볶는다.b,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00019_2.png,3. 버섯이 살짝 숨이 죽으면 파프리카를 넣어 함께 볶아 접시에 담는다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00019_3.png,,,,,,,"파프리카에 함유된 칼륨, 철분, 구리, 아연 성분은 체내 나트륨 수치를 낮추는 효과가 있으며, 백일송이버섯은 나트륨 함량이 높은 생선이나 육류 요리와 함께 섭취하면 나트륨 섭취를 줄일 수 있어요."
땅콩소스 버섯가지나물,끓이기,반찬,55,64.2,3.4,4.3,3.7,64.3,,http://www.foodsafetykorea.go.kr/uploadimg/20230309/20230309030022_1678341622130.jpg,"필수 재료 : 가지(15g), 새송이버섯(15g), 표고버섯(10g) 땅콩 소스 : 땅콩가루(5g), 다진마늘(2g), 참기름(2g), 저염간장(1g)",1. 가지는 꼭지를 떼어 편으로 썬다.,http://www.foodsafetykorea.go.kr/uploadimg/20230309/20230309030103_1678341663088.jpg,"2. 새송이버섯은 길게 편으로 썰고, 표고버섯은 기둥을 떼고 납작하게 썬다.",http://www.foodsafetykorea.go.kr/uploadimg/20230309/20230309030120_1678341680752.jpg,3. 가지와 버섯은 끓는 물에 각각 데친 후 찬물에 식힌다.,http://www.foodsafetykorea.go.kr/uploadimg/20230313/20230313032425_1678688665992.jpg,4. 땅콩소스 재료를 섞어 땅콩소스를 만든다.,http://www.foodsafetykorea.go.kr/uploadimg/20230313/20230313032438_1678688678164.jpg,"5. 데친 가지와 버섯은 물기를 제거해 그릇에 담고, 땅콩소스를 곁들여 마무리한다.",http://www.foodsafetykorea.go.kr/uploadimg/20230309/20230309030208_1678341728057.jpg,,,땅콩과 저염간장으로 만든 소스로 나트륨 섭취를 줄이고 짠맛을 고소한 맛으로 대체했어요.
새우 두부 계란찜,찌기,반찬,,220,3,14,17,99,연두부,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00028_1.png,"새우두부계란찜 연두부 75g(3/4모), 칵테일새우 20g(5마리), 달걀 30g(1/2개), 생크림 13g(1큰술), 설탕 5g(1작은술), 무염버터 5g(1작은술) 고명 시금치 10g(3줄기)",1. 손질된 새우를 끓는 물에 데쳐 건진다.a,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00028_1.png,"2. 연두부, 달걀, 생크림, 설탕에 녹인 무염버터를 믹서에 넣고 간 뒤 새우(1)를 함께 섞어 그릇에 담는다.b",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00028_2.png,3. 시금치를 잘게 다져 혼합물 그릇(2)에 뿌리고 찜기에 넣고 중간 불에서 10분 정도 찐다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00028_3.png,,,,,,,"나트륨의 배출을 도와주는 것으로 알려진 칼륨이 풍부한 시금치와 소금, 간장 등의 양념 대신 새우에 들어있는 간으로 맛을 내요."
부추 콩가루 찜,찌기,반찬,,215,20,14,9,240,날콩가루,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00029_1.png,"[1인분]조선부추 50g, 날콩가루 7g(1⅓작은술) ·양념장 : 저염간장 3g(2/3작은술), 다진 대파 5g(1작은술), 다진 마늘 2g(1/2쪽), 고춧가루 2g(1/3작은술), 요리당 2g(1/3작은술), 참기름 2g(1/3작은술), 참깨 약간","1. 부추는 깨끗이 씻어 물기를 제거하고, 5cm 길이로 썰고 부추에 날콩가루를 넣고 고루 섞이도록 버무린다.",http://www.foodsafetykorea.go.kr/uploadimg/20230206/20230206054820_1675673300714.jpg,2. 찜기에 면보를 깔고 부추를 넣은 후 김이 오르게 쪄서 파랗게 익힌다.,http://www.foodsafetykorea.go.kr/uploadimg/20230206/20230206054834_1675673314720.jpg,"3. 저염간장에 다진 대파, 다진 마늘, 고춧가루, 요리당 , 참기름, 참깨를 섞어 양념장을 만들고 찐 부추는 그릇에 담아낸다.",http://www.foodsafetykorea.go.kr/uploadimg/20230206/20230206054908_1675673348152.jpg,,,,,,,"콩가루로 버무려 감칠맛과 고소한 맛으로 나트륨 사용량을 줄여보세요. 부추는 피를 맑게 하고 허약 체질을 개선하여 성인병을 예방하는데 효과가 있지만, 알레르기 체질이나 위장이 약한 사람은 부작용이 생길 수 있으니 주의하세요."
방울토마토 소박이,기타,반찬,,45,9,2,1,277,방울토마토,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00031_1.png,"방울토마토 소박이 :  방울토마토 150g(5개), 양파 10g(3×1cm), 부추 10g(5줄기) 양념장 :  고춧가루 4g(1작은술), 멸치액젓 3g(2/3작은술), 다진 마늘 2.5g(1/2쪽), 매실액 2g(1/3작은술), 설탕 2g(1/3작은술), 물 2ml(1/3작은술), 통깨 약간",1. 물기를 빼고 2cm 정도의 크기로 썰은 부추와 양파를 양념장에 섞어 양념속을 만든다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00031_1.png,2. 깨끗이 씻은 방울토마토는 꼭지를 떼고 윗부분에 칼로 십자모양으로 칼집을 낸다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00031_4.png,3. 칼집을 낸 방울토마토에 양념속을 사이사이에 넣어 버무린다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00031_5.png,,,,,,,"소금에 절이는 오이 대신 방울토마토를 사용하여 나트륨 섭취를 줄였어요. 토마토에는 과일에 대체로 없는 글루탐산이 풍부하여 감칠맛을 내주며, 겉절이 양념과 잘 어우러져 상큼함과 감칠맛을 내주어요."
순두부 사과 소스 오이무침,기타,반찬,,75,10,4,2,22,순두부,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00032_2.png,"오이무침 : 오이 70g(1/3개), 다진 땅콩 10g(1큰술) 순두부사과 소스 :  순두부 40g(1/8봉지), 사과 50g(1/3개)","1. 사과, 순두부를 믹서에 넣고 곱게 갈아 소스를 만든다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00032_1.png,2. 오이는 소금으로 문질러 씻어 반을 갈라 씨를 제거하고 어슷썰기를 한다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00032_2.png,3. 썰어 놓은 오이에 순두부사과 소스를 넣고 버무린 후 다진 땅콩을 뿌려 마무리 한다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00032_3.png,,,,,,,사과에는 팩틴이 풍부하여 체내 나쁜 콜레스테롤을 감소시키고 나트륨 배출을 촉진시켜줘요. 순두부와 사과를 갈아 만든 소스는 맵고 짠 자극적인 간이 아닌 재료 그대로의 새콤달콤한 맛과 깔끔한 맛을 내요.
사과 새우 북엇국,끓이기,국&찌개,,65,2,12,1,78,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00033_1.png,"북엇국 북어채 25g(15개), 새우 10g(3마리), 사과 30g(1/5개), 양파 40g(1/4개), 표고버섯 20g(2장), 물 300ml(1½컵)",,,"2. 북어채를 잘게 손으로 찢어 찬물에 헹구어 준비한 후 양파, 표고버섯, 사과는 채 썰고 새우는 등쪽의 두세 마디에 꼬챙이를 넣어 내장을 뺀 후 헹군다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00033_2.png,"3. 찬물에 북어채, 새우, 표고버섯, 양파를 넣고 20분 정도 끓인 후 사과를 넣어 북어의 씁쓸한 맛을 없앤다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00033_3.png,,,5. 그릇에 담아낸다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00033_5.png,,,소금과 간장 대신 북어채와 새우의 짠맛으로 간을 한 담백한 맛의 북엇국을 만들었어요. 홍합이나 바지락을 넣으면 시원한 국물을 연출 할 수 있어요.
저염 된장으로 맛을 낸 황태해장국,끓이기,국&찌개,,100,12,13,0,361,저염된장,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00036_1.png,"황태해장국 황태(채) 15g(10개), 콩나물 30g(1/6봉지), 무 30g(5×3×2cm), 저염된장 10g(2작은술), 물 300ml(1½컵), 청양고추 5g(1/2개), 다진 마늘 2g(1/3작은술)",,,,,3. 황태는 손질하여 물에 헹궈 건져 놓고 콩나물은 다듬어 씻고 청양고추는 어슷썰기 한다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00036_3.png,4. 냄비에 물을 붓고 황태와 무를 넣고 끓인 후 육수에서 물을 건져내고 저염 된장을 푼다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00036_4.png,"5. 콩나물, 다진 마늘, 청양고추를 넣고 뚜껑을 덮어 김이 나게 끓 여준다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00036_5.png,,,"황태해장국을 조리할 때 소금 대신 저염된장을 사용하면 덜 짜고 감칠맛 나는 황태해장국을 맛 볼 수 있어요. 황태는 빛이 누렇고 살이 연한 것이 좋은 상품이며, 황태는 냉동실에 보관하거나 잘 밀봉하여 건조하고 서늘한 곳에 보관하는 것이 좋아요."
된장국,끓이기,국&찌개,,20,3,2,0,260,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00037_1.png,"된장국 두부 20g(2×2×2cm), 애느타리버섯 20g(4가닥), 감자 10g(4×3×1cm), 양파 10g(2×1cm), 대파 10g(5cm), 된장 5g(1작은술), 물 300ml(1½컵)","1. 감자, 양파는 얇게 썰고 애느타리 버섯은 썰어 달궈진 팬에 굽는다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00037_2.png,"2. 냄비에 물을 붓고 된장을 푼 뒤 감자, 양파, 두부를 넣어 재료가 투명해지게 끓인 후 된장국의 재료를 건져서 믹서에 넣어 갈고 된장국에 넣어 한번 더 끓인다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00037_4.png,3. 구운 애느타리버섯과 대파를 국에 넣어 끓인 후 그릇에 담는다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00037_6.png,,,,,,,된장국의 된장 사용량을 줄이기 위해 두부와 감자 등의 재료를 갈아 넣으면 담백한 된장국을 맛볼 수 있어요. 된장의 양을 적게 사용함으로 나트륨 섭취를 줄일 수 있어요.
