NO,식품명,식품대분류,식품상세분류,1회제공량,에너지(㎉),단백질(g),지방(g),탄수화물(g),총당류(g),나트륨(㎎)
1,꿩불고기,구이류,육류구이,500,368.8,33.5,8.5,39.7,16.9,1264.31
2,닭갈비,구이류,육류구이,400,595.61,45.9,25.8,44.9,21.2,1535.83
3,닭갈비,구이류,육류구이,300,558.47,45.5,31.6,23.1,8.5,1016.94
4,닭꼬치,구이류,육류구이,70,176.72,11.56,8.57,13.35,3.15,286.91
5,더덕구이,구이류,채소류구이,100,184,3.1,5.2,31.1,11.6,743.37
6,도미구이,구이류,어패류구이,250,397,61.1,16.5,2.1,0,1582.17
7,돼지갈비,구이류,육류구이,100,240.32,19.5,14.4,8.1,4.5,404.66
8,병어구이,구이류,어패류구이,250,488,54.6,30.8,0.2,0,1567.94
9,불고기,구이류,육류구이,150,395.29,34.4,25.2,7.8,7.9,560.71
10,붕장어소금구이,구이류,어패류구이,100,296.54,26,16.2,11.6,0.4,124.75
11,소양념갈비구이,구이류,육류구이,300,989.15,60.1,71.6,26.2,13.9,1378.45
12,양념왕갈비,구이류,육류구이,150,480.81,27.1,35.3,13.7,6.8,548.76
13,양념장어구이,구이류,어패류구이,150,433.35,30.77,30.56,8.8,4.18,704.64
14,임연수구이,구이류,어패류구이,250,494,53.8,29.4,3.5,0,1568.96
15,짚불구이곰장어,구이류,어패류구이,200,326.21,42.7,16.2,2.3,1.2,826.79
16,햄버그스테이크,구이류,육류구이,200,457.7,26.96,29.65,20.76,5.33,950.22
17,황태구이,구이류,어패류구이,200,437.57,47.8,15.4,26.9,14.2,1135.33
18,훈제오리,구이류,육류구이,250,797.14,43.06,64.07,12.08,0.27,1220.37
19,게국지,국 및 탕류,어패류국.탕,1100,415.25,44.9,12.1,31.7,10.8,4047.26
20,곰치국,국 및 탕류,어패류국.탕,1000,419.29,54.3,11.8,23.9,2.8,3802.06
21,굴국밥,국 및 탕류,어패류국.탕,650,683,42.4,17.8,88.4,0.3,1635.39
22,김치국,국 및 탕류,채소류국.탕,450,89,5.4,2.8,10.5,2.9,1642.08
23,떡만둣국,국 및 탕류,기타 국류,700,624.92,20.06,11.32,110.71,0.16,1980.19
24,만둣국,국 및 탕류,기타 국류,700,434.05,21.43,17.44,47.83,3.05,2367.99
25,맑은감자국,국 및 탕류,채소류국.탕,700,221,8.3,5.5,34.6,5.2,1712.29
26,매생이국,국 및 탕류,어패류국.탕,500,119,10,2.8,13.4,0.4,1420.3
27,무된장국,국 및 탕류,채소류국.탕,450,104,6.1,2.4,14.7,5.9,1741.46
28,미소된장국,국 및 탕류,채소류국.탕,150,38,2.8,1.8,2.8,0.7,517.03
29,바지락조개국,국 및 탕류,어패류국.탕,550,157,22,3.1,10.1,1.3,1596.17
30,뼈다귀해장국,국 및 탕류,육류국.탕,1000,714,74.6,35.7,23.4,5.7,3088.21
31,선지해장국,국 및 탕류,육류국.탕,1000,312,49.3,5.4,16.7,3.9,3074.53
32,소고기무국,국 및 탕류,육류국.탕,400,123,14.2,4,7.8,3.5,1067.02
33,소고기미역국,국 및 탕류,육류국.탕,650,151,18.1,5.3,7.7,0,1908.91
34,순대국,국 및 탕류,육류국.탕,800,540.3,43.52,33.02,17.26,0,1504.04
35,시래기된장국,국 및 탕류,채소류국.탕,450,99,6.7,3.1,11,1.3,1523.66
36,올갱이국,국 및 탕류,어패류국.탕,600,144.26,13.7,4.2,13,1.6,2017.16
37,우거지해장국,국 및 탕류,채소류국.탕,600,154.38,11.9,5.9,13.5,2.5,2049.59
38,우렁된장국,국 및 탕류,어패류국.탕,500,245,24.6,7.7,19.2,3.6,2134.21
39,탕국,국 및 탕류,어패류국.탕,250,92.15,13.18,4.27,0.24,0.08,656.75
40,홍합미역국,국 및 탕류,어패류국.탕,650,167,19.7,4.7,11.6,0,2043.68
41,황태해장국,국 및 탕류,어패류국.탕,600,181.7,24.5,6.8,5.7,1.5,1533.09
42,고추잡채,볶음류,기타 볶음류,200,256.77,10.99,12.01,26.17,2.09,828.55
43,난자완스,볶음류,육류볶음,200,346.25,21.63,20.35,19.15,0.49,703.23
44,도토리묵말이,기타,기타,1300,462.39,6.8,8.5,89.7,6.3,3206.03
45,라조기,튀김류,육류튀김,200,398.99,20.66,23.49,26.23,0.15,648.52
46,물회,회류,회류,700,529.36,34.4,18.9,55.3,20,2095.9
47,생선물회,회류,회류,800,577.97,34.3,12.3,82.5,52,2779.74
48,소고기샤브샤브,찌개 및 전골류,육류찌개.전골,600,263.75,29.1,9.8,14.7,2.4,1122.4
49,오징어순대,찜류,어패류찜,350,466.86,45.7,5.6,58.3,0.4,1258.71
50,초당순두부,국 및 탕류,채소류국.탕,900,522.69,49.1,29.2,15.8,0.9,1203.36
51,해파리냉채,생채및 무침류,어패류무침,150,91,6.2,1.4,13.4,11.4,508.77
52,고들빼기,김치류,김치,50,55.53,1.58,0.61,10.93,2.84,742.43
53,열무얼갈이김치,김치류,김치,50,17.68,1.07,0.33,2.61,0.46,339.9
54,미나리나물,숙채류,나물.숙채류,50,29.53,1.02,1.83,2.24,0,150.33
55,취나물,숙채류,나물.숙채류,50,74.1,1.37,6.15,3.31,0,281.86
56,콩나물,숙채류,나물.숙채류,50,25.34,1.68,1.65,0.94,0.02,213.95
57,경단(깨),곡류 및 서류,떡류,100,319.47,4.44,0.54,74.22,26.64,180
58,경단(콩),곡류 및 서류,떡류,100,314.32,3.51,0.46,74.03,20.55,225.83
59,기피편,곡류 및 서류,떡류,100,219.97,5.45,0.25,48.99,2.08,281.06
60,녹두시루떡,곡류 및 서류,떡류,100,246.07,7.74,2.53,48.08,4.05,263.66
61,메밀전병,곡류 및 서류,곡류 및 서류,100,167.83,6.18,6.29,21.62,0.62,345.8
62,무지개떡,곡류 및 서류,떡류,100,228.97,3.53,0.31,53.01,8.99,276.82
63,송편(깨),곡류 및 서류,떡류,100,224.15,4.92,2.74,44.96,1.15,231.82
64,송편(콩),곡류 및 서류,떡류,100,194.33,5.24,0.75,41.66,1.26,233.5
65,수수부꾸미,곡류 및 서류,곡류 및 서류,100,247.89,5.73,6.29,42.1,0.24,261
66,수수팥떡,곡류 및 서류,떡류,100,204.24,6.7,0.59,43.03,2.82,241.93
67,시루떡,곡류 및 서류,떡류,100,217.48,5.47,0.61,47.54,3.22,277.91
68,쑥떡,곡류 및 서류,떡류,100,248.63,3.36,0.4,57.89,10.72,254.32
69,절편,곡류 및 서류,떡류,100,192.89,3.64,0.28,43.94,0.07,265.87
70,찹쌀떡,곡류 및 서류,떡류,100,276.87,3.26,0.15,65.61,17.54,225.61
71,간자장,면 및 만두류,중식면류,650,824.54,22.33,22.03,134.22,12.16,2716.2
72,굴짬뽕,면 및 만두류,중식면류,900,680.67,32.87,9.6,115.69,1.7,2662.35
73,기스면,면 및 만두류,중식면류,1000,606.93,37.82,10.72,89.79,0.5,2764.59
74,김치라면,면 및 만두류,라면류,650,552,13.8,16.9,86.2,1.2,2531.6
75,김치우동,면 및 만두류,중식면류,800,500.18,15.55,4.6,99.14,2.13,2874.6
76,냉김치말이국수,면 및 만두류,국수류,600,302.53,12.9,4.8,52,8.3,2121.62
77,닭칼국수,면 및 만두류,국수류,900,663,42.2,12.8,94.7,5.3,2125.17
78,둘깨칼국수,면 및 만두류,국수류,600,457.88,17.6,16.5,59.8,1.4,1192.57
79,막국수,면 및 만두류,국수류,1000,571.59,20,5.8,109.8,9.4,3260.05
80,삼선우동,면 및 만두류,중식면류,1000,691.66,47.94,8.48,105.9,0.8,2722.32
81,삼선자장면,면 및 만두류,중식면류,700,803.9,33.64,18.14,126.53,10.15,2628.24
82,삼선짬뽕,면 및 만두류,중식면류,900,662.37,39.63,10.77,101.73,1.09,2689.13
83,쌀국수,면 및 만두류,국수류,600,320.32,15.6,4.2,55.1,4.3,1651.58
84,열무김치국수,면 및 만두류,국수류,800,431,15,10.2,69.6,18.6,3007.45
85,열무냉면,면 및 만두류,중식면류,800,525.49,20.84,5.78,97.52,27.15,3152.37
86,오일소스스파게티,면 및 만두류,스파게티류,400,646.74,19.56,23.43,89.42,1.41,1124.33
87,올갱이국수,면 및 만두류,국수류,1500,566,11.2,8.3,111.6,18.6,3862.84
88,우동(일식),면 및 만두류,중식면류,700,421.51,13.39,7.91,74.2,2.48,2390.32
89,우동(중식),면 및 만두류,중식면류,1000,648.47,29.45,21.02,85.37,1.1,3395.86
90,울면,면 및 만두류,중식면류,1000,728.86,37.46,7.37,128.18,0.5,2799.92
91,자장면,면 및 만두류,중식면류,650,796.5,19.77,20.32,133.63,7.8,2391.58
92,짬뽕라면,면 및 만두류,라면류,750,689,21.3,26.3,92,1.6,2493.81
93,치즈라면,면 및 만두류,라면류,600,595,16.8,23,80,0.9,2113.4
94,크림소스스파게티,면 및 만두류,스파게티류,400,837.57,21.79,50.59,73.76,9.17,1030.21
95,토마토소스스파게티,면 및 만두류,스파게티류,500,642.58,24.35,19.15,93.2,15.6,1508.63
96,해물칼국수,면 및 만두류,국수류,900,628.26,22.8,4.61,123.9,3.81,2355.07
97,해물크림소스스파게티,면 및 만두류,스파게티류,500,917.57,30.39,49.79,86.97,8.36,1323.7
98,해물토마토소스스파게티,면 및 만두류,스파게티류,500,584.44,27.97,13.73,87.24,13.48,1533.16
99,골뱅이무침,생채및 무침류,어패류무침,100,108.79,7.08,1.97,15.69,10.46,525.52
100,노각무침,생채및 무침류,나물.채소류무침,150,84,2.6,1.8,14.3,7.1,817.37
101,단무지무침,생채및 무침류,나물.채소류무침,50,20,0.5,0.8,2.8,0.7,428.92
102,달래나물무침,생채및 무침류,나물.채소류무침,150,136,4,2.8,23.8,11.2,867.04
103,더덕무침,생채및 무침류,나물.채소류무침,150,216,4.3,2.8,43.4,20.2,1246.58
104,도토리묵,기타,기타,100,45.6,0.29,0.32,10.38,0.43,124.15
105,밴댕이무침,생채및 무침류,어패류무침,400,600.01,29.8,33,46,27,1027.23
106,서대회무침,생채및 무침류,어패류무침,300,315.21,22.6,4.6,45.9,22.3,1198.9
107,쑥갓나물무침,생채및 무침류,나물.채소류무침,150,96,4.5,5.7,6.6,0.3,709.99
108,우거지나물무침,생채및 무침류,나물.채소류무침,150,129,4.5,8.5,8.7,1.5,772.52
109,쥐치채,생채및 무침류,어패류무침,20,55.92,2.75,0.15,10.89,4.55,296.34
110,청포묵무침,생채및 무침류,기타 생채.무침류,250,149,2.9,5.2,22.7,1.8,724.02
